GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PersonalProject,bg.softuni.paintShop.service,UserService,31,303,3,1,0,61,5,23,3,23
PersonalProject,bg.softuni.paintShop.service,CategoryService,0,166,1,5,0,31,1,14,0,12
PersonalProject,bg.softuni.paintShop.service,WarehouseService,0,143,0,4,0,34,0,14,0,12
PersonalProject,bg.softuni.paintShop.service,UsedProductService,0,153,1,1,0,29,1,8,0,8
PersonalProject,bg.softuni.paintShop.service,ShoppingCartService,12,95,0,0,0,19,1,9,1,9
PersonalProject,bg.softuni.paintShop.service,CommentService,0,88,0,0,0,17,0,4,0,4
PersonalProject,bg.softuni.paintShop.service,PaintShopDetailsService,0,49,0,0,0,15,0,5,0,5
PersonalProject,bg.softuni.paintShop.service,OrderProductService,29,76,4,0,0,18,5,8,3,8
PersonalProject,bg.softuni.paintShop.service,RoleService,0,41,0,2,0,10,0,6,0,5
PersonalProject,bg.softuni.paintShop.service,ProductService,0,221,0,6,0,39,0,18,0,15
PersonalProject,bg.softuni.paintShop.service,OrderService,38,134,3,1,4,28,5,8,3,8
PersonalProject,bg.softuni.paintShop.model.view,UserViewModel,292,77,66,0,1,10,37,18,4,18
PersonalProject,bg.softuni.paintShop.model.view,ProductViewModel,275,64,62,0,1,9,36,15,5,15
PersonalProject,bg.softuni.paintShop.model.view,CommentViewModel,147,24,30,0,2,5,21,7,6,7
PersonalProject,bg.softuni.paintShop.model.view,UsedProductViewModel,305,77,70,0,1,10,39,18,4,18
PersonalProject,bg.softuni.paintShop.model.view,CategoryViewModel,156,41,34,0,1,6,21,10,4,10
PersonalProject,bg.softuni.paintShop.model.view,OrderViewModel,167,0,30,0,6,0,27,0,12,0
PersonalProject,bg.softuni.paintShop.model.view,CommentViewModel.CommentViewModelBuilder,36,0,0,0,1,0,6,0,6,0
PersonalProject,bg.softuni.paintShop.model.dto,UserEditDTO.UserEditDTOBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.model.dto,CommentCreationDTO,155,16,30,0,2,5,23,5,8,5
PersonalProject,bg.softuni.paintShop.model.dto,UserRegisterDTO.UserRegisterDTOBuilder,72,0,0,0,1,0,10,0,10,0
PersonalProject,bg.softuni.paintShop.model.dto,ContentConsumerDto,85,0,14,0,5,0,16,0,9,0
PersonalProject,bg.softuni.paintShop.model.dto,CommentDTO.CommentDTOBuilder,36,0,0,0,1,0,6,0,6,0
PersonalProject,bg.softuni.paintShop.model.dto,UserRegisterDTO,275,68,62,0,2,9,36,16,5,16
PersonalProject,bg.softuni.paintShop.model.dto,UserLoginDTO.UserLoginDTOBuilder,27,0,0,0,1,0,5,0,5,0
PersonalProject,bg.softuni.paintShop.model.dto,OrderDTO,168,3,30,0,6,1,27,1,12,1
PersonalProject,bg.softuni.paintShop.model.dto,QuantityHolderDTO,54,14,8,0,2,3,9,4,5,4
PersonalProject,bg.softuni.paintShop.model.dto,CategoryDTO,160,41,34,0,2,6,22,10,5,10
PersonalProject,bg.softuni.paintShop.model.dto,QuantityHolderDTO.QuantityHolderDTOBuilder,18,0,0,0,1,0,4,0,4,0
PersonalProject,bg.softuni.paintShop.model.dto,CommentDTO,147,24,30,0,2,5,21,7,6,7
PersonalProject,bg.softuni.paintShop.model.dto,UserEditDTO,173,41,38,0,2,6,24,10,5,10
PersonalProject,bg.softuni.paintShop.model.dto,ProductDTO.ProductDTOBuilder,63,0,0,0,1,0,9,0,9,0
PersonalProject,bg.softuni.paintShop.model.dto,UserDTO,314,59,66,0,2,10,39,17,6,17
PersonalProject,bg.softuni.paintShop.model.dto,UserLoginDTO,128,0,22,0,6,0,22,0,11,0
PersonalProject,bg.softuni.paintShop.model.dto,ContentConsumerDto.ContentConsumerDtoBuilder,18,0,0,0,1,0,4,0,4,0
PersonalProject,bg.softuni.paintShop.model.dto,UsedProductDTO,309,77,70,0,2,10,40,18,5,18
PersonalProject,bg.softuni.paintShop.model.dto,OrderDTO.OrderDTOBuilder,36,0,0,0,1,0,6,0,6,0
PersonalProject,bg.softuni.paintShop.model.dto,UserDTO.UserDTOBuilder,81,0,0,0,1,0,11,0,11,0
PersonalProject,bg.softuni.paintShop.model.dto,ApiErrorDTO,109,15,22,0,2,3,18,3,7,3
PersonalProject,bg.softuni.paintShop.model.dto,ProductDTO,241,59,54,0,2,8,32,14,5,14
PersonalProject,bg.softuni.paintShop.model.dto,UsedProductDTO.UsedProductDTOBuilder,81,0,0,0,1,0,11,0,11,0
PersonalProject,bg.softuni.paintShop.model.dto,CommentCreationDTO.CommentCreationDTOBuilder,36,0,0,0,1,0,6,0,6,0
PersonalProject,bg.softuni.paintShop.model.dto,CategoryDTO.CategoryDTOBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.model.validation,UniqueEmailValidator,0,16,0,0,0,6,0,3,0,3
PersonalProject,bg.softuni.paintShop.model.validation,PasswordMatchValidator,16,39,4,2,6,13,3,3,0,3
PersonalProject,bg.softuni.paintShop.model.validation,UniqueUsernameValidator,0,19,0,2,0,6,0,4,0,3
PersonalProject,bg.softuni.paintShop.exception,ObjectNotFoundException,0,3,0,0,0,1,0,1,0,1
PersonalProject,bg.softuni.paintShop.exception,CommentNotFoundException,0,9,0,0,0,2,0,2,0,2
PersonalProject,bg.softuni.paintShop.model.enums,RoleEnum,0,15,0,0,0,3,0,1,0,1
PersonalProject,bg.softuni.paintShop.model.entity,CategoryEntity.CategoryEntityBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.model.entity,OrderEntity,83,44,14,0,3,7,12,10,5,10
PersonalProject,bg.softuni.paintShop.model.entity,CategoryEntity,83,44,14,0,3,7,12,10,5,10
PersonalProject,bg.softuni.paintShop.model.entity,UsedProductEntity.UsedProductEntityBuilder,81,0,0,0,1,0,11,0,11,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductQuantityTrackerEntity.ProductQuantityTrackerEntityBuilder,36,0,0,0,1,0,6,0,6,0
PersonalProject,bg.softuni.paintShop.model.entity,UserEntity,98,89,14,0,3,12,12,20,5,20
PersonalProject,bg.softuni.paintShop.model.entity,OrderEntity.OrderEntityBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductQuantityTrackerEntity,85,24,14,0,3,5,13,7,6,7
PersonalProject,bg.softuni.paintShop.model.entity,UserEntity.UserEntityBuilder,90,0,0,0,1,0,12,0,12,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductEntity.ProductEntityBuilder,72,0,0,0,1,0,10,0,10,0
PersonalProject,bg.softuni.paintShop.model.entity,ProductEntity,46,117,8,6,2,11,9,19,2,19
PersonalProject,bg.softuni.paintShop.model.entity,UsedProductEntity,110,59,14,0,3,10,13,17,6,17
PersonalProject,bg.softuni.paintShop.model.entity,CommentEntity,77,56,9,5,4,6,14,10,7,10
PersonalProject,bg.softuni.paintShop.model.entity,RoleEntity,78,19,14,0,3,4,13,5,6,5
PersonalProject,bg.softuni.paintShop.model.entity,OrderProductEntity,84,37,14,0,3,6,13,9,6,9
PersonalProject,bg.softuni.paintShop.model.entity,CommentEntity.CommentEntityBuilder,54,0,0,0,1,0,8,0,8,0
PersonalProject,bg.softuni.paintShop.model.entity,RoleEntity.RoleEntityBuilder,27,0,0,0,1,0,5,0,5,0
PersonalProject,bg.softuni.paintShop.model.entity,OrderProductEntity.OrderProductEntityBuilder,45,0,0,0,1,0,7,0,7,0
PersonalProject,bg.softuni.paintShop.exceptionHandling,GlobalExceptionHandler,5,3,0,0,1,1,1,1,1,1
PersonalProject,bg.softuni.paintShop.config,WebConfiguration,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.paintShop.config,SecurityConfiguration,0,102,0,0,0,25,0,4,0,4
PersonalProject,bg.softuni.paintShop.config,ApplicationConfig,0,7,0,0,0,2,0,2,0,2
PersonalProject,bg.softuni.paintShop.interceptors,LoggingInterceptor,16,64,2,6,5,18,2,6,0,4
PersonalProject,bg.softuni.paintShop.web,HomeController,0,80,0,0,0,11,0,8,0,8
PersonalProject,bg.softuni.paintShop.web,ShoppingCartController,0,78,0,0,0,15,0,6,0,6
PersonalProject,bg.softuni.paintShop.web,ProductController,34,102,0,0,4,15,1,7,1,7
PersonalProject,bg.softuni.paintShop.web,UsedProductController,65,127,1,3,11,25,3,10,2,9
PersonalProject,bg.softuni.paintShop.web,AdminController,7,431,0,14,0,87,1,41,1,34
PersonalProject,bg.softuni.paintShop.web,CommentRestController,43,48,0,2,7,8,1,5,1,4
PersonalProject,bg.softuni.paintShop.web,OrderController,0,6,0,0,0,1,0,1,0,1
PersonalProject,bg.softuni.paintShop.web,UserController,25,75,2,4,7,18,3,8,1,7
PersonalProject,bg.softuni.paintShop,AppDbInitializer,0,10,0,0,0,3,0,2,0,2
PersonalProject,bg.softuni.paintShop,PersonalProjectApplication,5,3,0,0,2,1,1,1,1,1
